date,open,high,low,close,ffr,nfp,y,arah
1/3/2019,1286.800049,1294.199951,1275.300049,1289.300049,2.5,90,1291.599976,Naik
1/10/2019,1284.699951,1293.900024,1284.699951,1291.599976,2.5,192,1283.099976,Turun
1/17/2019,1291.599976,1292.699951,1278.699951,1283.099976,2.5,192,1309.900024,Naik
1/24/2019,1279.099976,1323.400024,1278.5,1309.900024,2.5,192,1309.5,Turun
1/31/2019,1320,1325.400024,1305,1309.5,2.5,192,1310.800049,Naik
2/7/2019,1302.900024,1316,1302.199951,1310.800049,2.5,251,1343.300049,Naik
2/14/2019,1305,1344,1301.599976,1343.300049,2.5,251,1317.699951,Turun
2/21/2019,1331.300049,1334.900024,1316.5,1317.699951,2.5,251,1284.900024,Turun
2/28/2019,1321.099976,1323.699951,1281.900024,1284.900024,2.5,251,1307.5,Naik
3/7/2019,1281,1307.5,1281,1307.5,2.5,7,1300.5,Turun
3/14/2019,1293.400024,1306.900024,1293.400024,1300.5,2.5,7,1309.900024,Naik
3/21/2019,1306.099976,1322.900024,1306.099976,1309.900024,2.5,7,1289.900024,Turun
3/28/2019,1308.400024,1311.099976,1284.5,1289.900024,2.5,7,1309.099976,Naik
4/4/2019,1290.599976,1309.099976,1279.5,1309.099976,2.5,7,1272.199951,Turun
4/11/2019,1307,1307.099976,1271.599976,1272.199951,2.5,228,1275.5,Naik
4/18/2019,1270.800049,1275.5,1266,1275.5,2.5,228,1281.400024,Naik
4/25/2019,1280.599976,1284.900024,1275.800049,1281.400024,2.5,228,1279.400024,Turun
5/2/2019,1269.199951,1283.5,1266.599976,1279.400024,2.5,228,1296.300049,Naik
5/9/2019,1278.900024,1300.099976,1278.800049,1296.300049,2.5,296,1273.599976,Turun
5/16/2019,1285.199951,1285.400024,1272,1273.599976,2.5,296,1280.599976,Naik
5/23/2019,1284.800049,1284.800049,1276.5,1280.599976,2.5,296,1328.300049,Naik
5/30/2019,1279.400024,1343.300049,1273.900024,1328.300049,2.5,296,1331.900024,Naik
6/6/2019,1330.800049,1347.699951,1319.099976,1331.900024,2.5,296,1344.599976,Naik
6/13/2019,1331.599976,1355.400024,1331.599976,1344.599976,2.5,27,1411.599976,Naik
6/20/2019,1381.5,1433.300049,1379.5,1411.599976,2.5,27,1417.699951,Naik
6/27/2019,1407,1434,1382.800049,1417.699951,2.5,27,1410.099976,Turun
7/4/2019,1418.300049,1418.300049,1386.199951,1410.099976,2.5,27,1421.300049,Naik
7/11/2019,1424,1424,1404.300049,1421.300049,2.5,220,1422.800049,Naik
7/18/2019,1422.300049,1444.199951,1416.300049,1422.800049,2.5,220,1426.099976,Naik
7/25/2019,1413.900024,1435.800049,1411.199951,1426.099976,2.5,220,1507.300049,Naik
8/1/2019,1411.300049,1509.900024,1400.900024,1507.300049,2.25,220,1515.900024,Naik
8/8/2019,1498.400024,1531.400024,1483.699951,1515.900024,2.25,99,1504.599976,Turun
8/15/2019,1519.800049,1524.599976,1492.900024,1504.599976,2.25,99,1537.800049,Naik
8/22/2019,1495.099976,1543.300049,1493.5,1537.800049,2.25,99,1550.300049,Naik
8/29/2019,1537.5,1553.199951,1516.699951,1550.300049,2.25,99,1494.400024,Turun
9/5/2019,1551,1551.099976,1486.900024,1494.400024,2.25,99,1507.5,Naik
9/12/2019,1499.5,1515.400024,1486.900024,1507.5,2.25,232,1504.599976,Turun
9/19/2019,1496.099976,1533,1496.099976,1504.599976,2,232,1501,Turun
9/26/2019,1507.5,1507.5,1458.300049,1501,2,232,1506.099976,Naik
10/3/2019,1497.400024,1518.199951,1489.099976,1506.099976,2,232,1488,Turun
10/10/2019,1511.199951,1511.199951,1476.599976,1488,2,196,1489.900024,Naik
10/17/2019,1486.199951,1493.199951,1481.5,1489.900024,2,196,1493.199951,Naik
10/24/2019,1490.5,1514.300049,1481,1493.199951,2,196,1490.199951,Turun
10/31/2019,1496.099976,1513.099976,1480.800049,1490.199951,1.75,196,1461.699951,Turun
11/7/2019,1489.099976,1489.099976,1447.099976,1461.699951,1.75,95,1473.300049,Naik
11/14/2019,1463.800049,1474.5,1463.699951,1473.300049,1.75,95,1453.400024,Turun
11/21/2019,1463.099976,1468.599976,1452,1453.400024,1.75,95,1474,Naik
11/28/2019,1453.599976,1483.400024,1452.099976,1474,1.75,95,1469.400024,Turun
12/5/2019,1474.699951,1478,1458.199951,1469.400024,1.75,95,1472.599976,Naik
12/12/2019,1475.099976,1483.900024,1463.099976,1472.599976,1.75,207,1499.099976,Naik
12/19/2019,1475.900024,1499.099976,1473.300049,1499.099976,1.75,207,1519.5,Naik
12/26/2019,1505.199951,1523.400024,1505,1519.5,1.75,207,1557.400024,Naik
1/2/2020,1518.099976,1604.199951,1518,1557.400024,1.75,207,1552.099976,Turun
1/9/2020,1555.699951,1558.800049,1534.900024,1552.099976,1.75,127,1555.300049,Naik
1/16/2020,1555.699951,1566.199951,1548.5,1555.300049,1.75,127,1569.800049,Naik
1/23/2020,1553.099976,1584.5,1552.199951,1569.800049,1.75,127,1557.800049,Turun
1/30/2020,1576.800049,1593.300049,1547.699951,1557.800049,1.75,127,1567.400024,Naik
2/6/2020,1553.599976,1574.699951,1551.599976,1567.400024,1.75,127,1607.5,Naik
2/13/2020,1570.199951,1610.5,1570.199951,1607.5,1.75,237,1640,Naik
2/20/2020,1606.5,1686.599976,1603,1640,1.75,237,1641.099976,Naik
